year,TSI,TSI_UNC,time_bnds_lwr,time_bnds_upr
1610,1360.5419,0.4221,0.0,365.0
1611,1360.5717,0.4361,365.0,730.0
1612,1360.9994,0.6394,730.0,1096.0
1613,1361.2231,0.7458,1096.0,1461.0
1614,1361.2047,0.7371,1461.0,1826.0
1615,1361.108,0.6912,1826.0,2191.0
1616,1360.4423,0.3746,2191.0,2557.0
1617,1360.3496,0.3307,2557.0,2922.0
1618,1360.3231,0.3181,2922.0,3287.0
1619,1360.418,0.3693,3287.0,3652.0
1620,1360.4252,0.3769,3652.0,4018.0
1621,1360.4017,0.4003,4018.0,4383.0
1622,1360.363,0.439,4383.0,4748.0
1623,1360.2952,0.5069,4748.0,5113.0
1624,1360.2594,0.4972,5113.0,5479.0
1625,1360.477,0.5992,5479.0,5844.0
1626,1360.414,0.5695,5844.0,6209.0
1627,1360.3074,0.5171,6209.0,6574.0
1628,1360.3702,0.5468,6574.0,6940.0
1629,1360.3412,0.517,6940.0,7305.0
1630,1360.2385,0.4426,7305.0,7670.0
1631,1360.2568,0.4164,7670.0,8035.0
1632,1360.24,0.4008,8035.0,8401.0
1633,1360.4021,0.4466,8401.0,8766.0
1634,1360.2932,0.3794,8766.0,9131.0
1635,1360.2943,0.3857,9131.0,9496.0
1636,1360.3698,0.4239,9496.0,9862.0
1637,1360.6088,0.5502,9862.0,10227.0
1638,1360.7561,0.6305,10227.0,10592.0
1639,1360.8905,0.6969,10592.0,10957.0
1640,1360.4725,0.5004,10957.0,11323.0
1641,1360.8011,0.6571,11323.0,11688.0
1642,1360.7706,0.6526,11688.0,12053.0
1643,1360.3834,0.4705,12053.0,12418.0
1644,1360.3317,0.4449,12418.0,12784.0
1645,1360.2252,0.4014,12784.0,13149.0
1646,1360.2091,0.4169,13149.0,13514.0
1647,1360.1864,0.4396,13514.0,13879.0
1648,1360.1577,0.4682,13879.0,14245.0
1649,1360.1473,0.4786,14245.0,14610.0
1650,1360.0994,0.5266,14610.0,14975.0
1651,1360.0922,0.5338,14975.0,15340.0
1652,1360.1414,0.5634,15340.0,15706.0
1653,1360.0925,0.5433,15706.0,16071.0
1654,1360.0914,0.543,16071.0,16436.0
