,volcano,irradiance
1958,46,1361.861
1959,42,1361.5613
1960,39,1361.4275
1961,35,1360.9957
1962,32,1360.7981
1963,44,1360.7325
1964,32,1360.7277
1965,36,1360.774
1966,40,1361.0021
1967,47,1361.223
1968,40,1361.3037
1969,35,1361.3771
1970,38,1361.3759
1971,39,1361.04
1972,41,1361.1002
1973,49,1360.8647
1974,37,1360.771
1975,30,1360.7155
1976,38,1360.6946
1977,42,1360.8905
1978,29,1361.2162
1979,38,1361.6016
1980,45,1361.6398
1981,34,1361.6833
1982,41,1361.2311
1983,38,1361.2137
1984,37,1360.7904
1985,35,1360.633
1986,51,1360.6417
1987,45,1360.7828
1988,32,1361.1195
1989,31,1361.6433
1990,33,1361.5521
1991,43,1361.5178
1992,30,1361.3082
1993,33,1360.9427
1994,39,1360.742
1995,39,1360.7317
1996,45,1360.6763
1997,32,1360.8073
1998,37,1361.1759
1999,44,1361.48
2000,48,1361.6603
2001,40,1361.5686
2002,50,1361.6332
2003,35,1361.1283
2004,54,1360.918
2005,51,1360.7004
2006,47,1360.6796
2007,40,1360.6039
2008,52,1360.6097
2009,41,1360.6066
2010,39,1360.7854
2011,40,1361.069
2012,45,1361.1926
2013,44,1361.2631
2014,48,1361.3862
2015,45,1361.4098
2016,37,1360.9519
2017,35,1360.6597
2018,40,1360.6387
2019,28,1360.6492
2020,27,1360.7491
2021,34,1360.9749
2022,35,1361.4944
